Title of debate,Date,Members,Classification,Year
Promotion of Plantation,04/03/23,Upendra Singh Rawat,Forestry and plantation,2023
Environmental Clearance to Construction of Additional Civil Terminal,04/03/23,Rajkumar Chahar,Environmental clearances,2023
Dumping Garbage in River Banks,04/03/23,Dilip SaikiaNaranbhai KachhadiaRanjeetsingh Naik Nimbalkar,Pollution,2023
Setting up of Zoos,04/03/23,Amol Ramsing KolheVijay Kumar,Animal and wildlife,2023
Relocation of Elephants,04/03/23,Prajwal Revanna,Animal and wildlife,2023
Hazardous Waste,04/03/23,Kinjarapu Ram Mohan NaiduKirit Premjibhai Solanki,Pollution,2023
Emission Inventory Report,04/03/23,Satyadev Pachauri,Pollution,2023
Afforestation Programmes,04/03/23,Rajveer Diler,Forestry and plantation,2023
Utilisation of Funds,04/03/23,Shashi Tharoor,Others,2023
Allocation of Funds under CAMPA,04/03/23,Srinivas KesineniMaddila Gurumoorthy,Forestry and plantation,2023
Decarbonize the Industrial Sector,04/03/23,Jagannath Sarkar,Pollution,2023
New Policy to Control Noise Pollution,04/03/23,Rahul Kaswan,Pollution,2023
Apex Committee for the Implementation of the Paris Agreement,04/03/23,Dushyant Singh,Climate negotiations,2023
Pollution Rankings,04/03/23,Gurjeet Singh AujlaAnubhav MohantyBalubhau Narayanrao (Alias Suresh) DhanorkarBharati Dhirubhai ShiyalMohammad JawedSunil Kumar,Pollution,2023
Protection of Forest and Environment,04/03/23,Arvind Ganpat SawantOmprakash Bhupalsingh alias Pavan Rajenimbalkar,Forestry and plantation,2023
Attack by Wild Animals,04/03/23,Ramesh Pokhriyal NishankAjay NishadKunwar Danish Ali,Animal and wildlife,2023
Impact of Climate Change on Odisha,04/03/23,Sarmistha Kumari Sethi,Disasters,2023
Tiger Population,04/03/23,Debasree Chaudhuri,Animal and wildlife,2023
Climate Change Effects,04/03/23,Vijayakumar (alias) Vijay VasanthPallab Lochan Das,Climate change,2023
Pending Environmental Clearances,04/03/23,Gopal Chinayya Shetty,Environmental clearances,2023
Funds for Environmental Protection,04/03/23,Ramya Haridas,Forestry and plantation,2023
Illegal Construction in CRZ,04/03/23,Deepak Baij,Environmental clearances,2023
Pollution by Industrial Establishments,04/03/23,Naranbhai Kachhadia,Pollution,2023
Protection of Trees,04/03/23,Ramesh Chander Kaushik,Forestry and plantation,2023
Environmental Impact of Coal Mining Activities,04/03/23,Syed Imtiaz Jaleel,Pollution,2023
Pollution in Rivers and Lakes,04/03/23,Sumedhanand SaraswatiRanjeeta Koli,Pollution,2023
Alternative Products and Technologies to Plastics and their Applications,04/03/23,Kotagiri Sridhar,Pollution,2023
Extraction of Sand,04/03/23,Brijendra Singh,Illegal mining,2023
Shortage of Officials for Field Verification,04/03/23,Subrat Pathak,Infrastructure,2023
Conference on Climate Change,04/03/23,Rattan Lal Kataria,Climate negotiations,2023
Funds to Tamil Nadu for Environmental Issues,04/03/23,Durai Murugan Kathir Anand,Others,2023
International Agreements on Climate Change,04/03/23,M. P. Abdussamad Samadani,Climate negotiations,2023
Assessment to identify e-Waste,04/03/23,Ajay Kumar MandalLocket ChatterjeeNavneet Ravi Rana,Pollution,2023
Medical Waste,04/03/23,Hanuman BeniwalSanjay Seth,Pollution,2023
Climate Finance,04/03/23,Heena Vijayakumar GavitAparupa PoddarKrishnapal Singh YadavRita Bahuguna JoshiShrikant Eknath ShindeSujay Radhakrishna VikhepatilUnmesh Bhaiyyasaheb Patil,Climate change,2023
Vacant Positions at CPCB/SPCBs,04/03/23,Sunil Kumar Singh,Infrastructure,2023
Salient Features of Nagar Van Scheme,04/03/23,Sharda Anilkumar PatelMitesh Rameshbhai Patel,Scheme,2023
Air Quality Early Warning System,04/03/23,Pradyut BordoloiHasnain MasoodiShyam Singh Yadav,Pollution,2023
Fruit Trees Plantation on Barren Lands,04/03/23,Alok Kumar Suman,Forestry and plantation,2023
Assessment of the Wetlands,04/03/23,Aparajita SarangiBharat Ram Margani,Forestry and plantation,2023
National Action Plan on Climate Change,04/03/23,Krupal Balaji TumaneBhavana Gawali (Patil),Legislation/plans/schemes,2023
State Coastal Zone Management Authority,3/27/2023,Shashi Tharoor,Legislation/plans/schemes,2023
PARIVESH Portal,3/27/2023,Pocha Brahmananda ReddyVenkata Satyavathi Beesetti,Legislation/plans/schemes,2023
Rejuvenation of Rivers,3/27/2023,Mitesh Rameshbhai PatelSharda Anilkumar Patel,Pollution,2023
Comprehensive Climate Vulnerability,3/27/2023,Aparajita Sarangi,Legislation/plans/schemes,2023
Permission for Mining in Forest Areas,3/27/2023,Hanuman Beniwal,Environmental clearances,2023
"Air Quality Statistics of Kochi, Kerala",3/27/2023,Hibi Eden,Pollution,2023
Air Pollution,3/27/2023,Himadri Singh,Pollution,2023
Guidelines for Bio-Mining at Solid Waste Dumpsites,3/27/2023,Jagannath SarkarSatyadev PachauriSunita Duggal,Legislation/plans/schemes,2023
Conference on Climate Change,3/27/2023,T. R. Paarivendhar,Climate negotiations,2023
Effects of Climate Change,3/27/2023,Jual OramAnurag SharmaBrijbhushan Sharan SinghP.P. ChaudharyPratap Chandra SarangiRamapati Ram TripathiSangamlal Kadedin Gupta,Climate change,2023
National Wetland Conservation Programme,3/27/2023,Sanjay (Kaka) Ramchandra PatilKuruva Gorantla Madhav,Legislation/plans/schemes,2023
Amrit Darohar Scheme,3/27/2023,Kripanath MallahJaskaur Meena,Legislation/plans/schemes,2023
Mangrove Plantations,3/27/2023,Unmesh Bhaiyyasaheb PatilHeena Vijayakumar GavitKrishnapal Singh YadavRita Bahuguna JoshiShrikant Eknath ShindeSujay Radhakrishna VikhepatilTapir Gao,Forestry and plantation,2023
Violation of Environmental Rules and Regulations,3/27/2023,Gopal Chinayya Shetty,Legislation/plans/schemes,2023
Illegal Deforestation,3/27/2023,Ashok Kumar RawatTapir Gao,Forestry and plantation,2023
Study on Human-Animal Conflict,3/27/2023,Komati Reddy Venkat ReddyJayanta Kumar RoyKotha Prabhakar ReddySrinivas Reddy ManneRaghu Ramakrishna Raju KanumuruSangeeta Kumari Singh Deo,Animal and wildlife,2023
Schemes to control Air Pollution,3/27/2023,Gaddam Ranjith ReddyHasmukhbhai Somabhai PatelRatansinh Magansinh RathodVivek Narayan Shejwalkar,Pollution,2023
Air Pollution from Industries,3/27/2023,Krupal Balaji TumaneBhavana Gawali (Patil),Pollution,2023
Release of Toxic Air from Waste Treatment Plant,3/27/2023,Suresh Kodikunnil,Pollution,2023
Climate Change Performance Index,3/27/2023,Achyutananda Samanta,Climate change,2023
Conservation Plan for Great Indian Bustards,3/27/2023,Devji Mansingram Patel,Animal and wildlife,2023
Funds for Green India Mission,3/27/2023,Santosh Kumar GangwarPinaki Misra,Legislation/plans/schemes,2023
Management of Wastes,3/27/2023,Ramesh Chand BindGopal Jee Thakur,Pollution,2023
Management and Conservation of Wetlands,3/27/2023,Asaduddin Owaisi,Forestry and plantation,2023
Waste Management at Pilgrimage Sites,3/27/2023,Ravneet Singh,Pollution,2023
Decriminalisation of Indian Forest Act,3/27/2023,Jayanta Kumar RoyBhola SinghRaja Amareshwara NaikRajveer (Raju Bhaiya) SinghSukanta MajumdarVinod Kumar Sonkar,Forestry and plantation,2023
Rise in Sea Level,3/27/2023,Kumbakudi SudhakaranK. Muraleedharan,Climate change,2023
Endangered Wildlife Species,3/27/2023,Uday Pratap Singh,Animal and wildlife,2023
Hotels/Resorts in Buffer Zone,3/27/2023,Dhal Singh BisenThirumaa Valavan Thol,Violation,2023
Tiger Reserves,3/27/2023,Manoj Kishorbhai Kotak,Animal and wildlife,2023
Air Pollution due to Stubble,3/27/2023,Vivek Narayan Shejwalkar,Pollution,2023
Translocation of African Cheetahs,3/27/2023,Gautham Sigamani Pon,Pollution,2023
Forest based Projects,3/27/2023,Balak NathManoj RajoriaRanjeeta KoliSumedhanand Saraswati,Forestry and plantation,2023
Funds for Climate Change,3/27/2023,Jayadev Galla,Climate change,2023
Impact of Heat Waves,3/27/2023,S. Jothi Mani,Climate change,2023
Amendment in Environmental Protection Act,3/27/2023,Ritesh Pandey,Legislation/plans/schemes,2023
Hoollongapar Gibbon Sanctuary,3/20/2023,Topon Kumar Gogoi,Forestry and plantation,2023
National Afforestation Programme,3/20/2023,Jyotsna Charandas Mahant,Legislation/plans/schemes,2023
Death of Elephants,3/20/2023,Jai PrakashAparajita Sarangi,Animal and wildlife,2023
Pollution by Plastics,3/20/2023,Rakesh Singh,Pollution,2023
Environmental Cases,3/20/2023,Ritesh Pandey,Climate change,2023
International Trade of Ivory,3/20/2023,Dushyant SinghDr. T. Sumathy (a) Thamizhachi Thangapandian,Animal and wildlife,2023
State Pollution Control Boards,3/20/2023,Parvesh Sahib Singh,Pollution,2023
NCAP Cities/Towns,3/20/2023,Jagannath SarkarShyam Singh Yadav,Legislation/plans/schemes,2023
National Coastal Mission,3/20/2023,Pinaki MisraDebasree Chaudhuri,Legislation/plans/schemes,2023
COP 26,3/20/2023,Rita Bahuguna JoshiHeena Vijayakumar GavitKrishnapal Singh YadavShrikant Eknath ShindeSujay Radhakrishna VikhepatilUnmesh Bhaiyyasaheb Patil,climate negotiations,2023
Nagar Van Yojana,3/20/2023,Subhash Ramrao Bhamre,Legislation/plans/schemes,2023
Data on Methane Emissions,3/20/2023,Abdul KhalequeSri Krishna Devarayalu LavuSatyadev PachauriSunita Duggal,Pollution,2023
New Environmental Policy,3/20/2023,M. P. Abdussamad Samadani,Legislation/plans/schemes,2023
Decrease in the Forest Area in Metropolitan Cities,3/20/2023,Ghanshyam Singh Lodhi,Forestry and plantation,2023
Bio-Diversity for Conservation of Environment,3/20/2023,Sukhbir Singh Jaunapuria,Animal and wildlife,2023
Rural Monitoring Stations to Monitor Air Quality,3/20/2023,Shyam Singh YadavSatyadev PachauriSunita Duggal,Pollution,2023
Elephant-Human Conflict,3/20/2023,Su Thirunavukkarasar,Animal and wildlife,2023
Wetlands in Kashmir,3/20/2023,Hasnain Masoodi,Forestry and plantation,2023
Regulations for Plastic Fibre,3/20/2023,Parbhubhai Nagarbhai Vasava,Pollution,2023
Carbon Emission by 2050,3/20/2023,Ramesh Chander KaushikChirag PaswanSanghamitra Maurya,Climate change,2023
Man-Animal Conflict,3/20/2023,A. Raja,Animal and wildlife,2023
Air Pollution and Smog,3/20/2023,Omprakash Bhupalsingh alias Pavan RajenimbalkarArvind Ganpat Sawant,Pollution,2023
Ban on the use of Coal,3/20/2023,Sudhakar Tukaram Shrangare,Pollution,2023
Financial Support to Brick Kilns,3/20/2023,Kuruva Gorantla MadhavChinta Anuradha,Pollution,2023
Landslides and Cloudbursts in Hilly Areas,3/20/2023,Pratibha Singh,Disasters,2023
Forest Cover in the Country,3/20/2023,Manoj Kumar TiwariNishikant DubeySunil Kumar Mondal,Forestry and plantation,2023
Climate Change,3/20/2023,Hanuman BeniwalBadruddin Ajmal,Climate change,2023
Risk of Sequential Extremes,3/20/2023,Kani K. Navas,Disasters,2023
Encroachment of Land,3/20/2023,S. Gnanathiraviam,violation,2023
Air Quality Management in the Country,3/20/2023,Pradeep Kumar SinghJugal Kishore Sharma,pollution,2023
Research and Development for Conservation,3/20/2023,Maddila Gurumoorthy,Forestry and plantation,2023
Land Degradation and Deforestation,3/20/2023,Magunta Sreenivasulu ReddySanjay (Kaka) Ramchandra Patil,Forestry and plantation,2023
Projects on High Quality Environment,3/20/2023,Sanjay Bhatia,Forestry and plantation,2023
Erosion of Sea Beaches,3/20/2023,Jual Oram,Sea erosion,2023
E-Waste,3/20/2023,Keshari Devi Patel,Pollution,2023
Pollution due to NTPC Plants,3/13/2023,Ajay Kumar MandalLocket ChatterjeeSunil Kumar Pintu,Pollution,2023
Funds for Tiger Protection,3/13/2023,Keshari Devi PatelJadon Chandra SenSanghamitra Maurya,Animal and wildlife,2023
CoP 26,3/13/2023,Thalikkottai Rajuthevar Baalu,Climate change,2023
Ban on Single Use Plastic,3/13/2023,Kotagiri Sridhar,Legislation/plans/schemes,2023
Afforestation Schemes,3/13/2023,Gowdar Mallikarjunappa Siddeshwara,Legislation/plans/schemes,2023
Effects of Air Pollution,3/13/2023,Veeraswamy Kalanidhi,Pollution,2023
Poaching of Wild Animals,3/13/2023,Goddeti Madhavi,Animal and wildlife,2023
Effects of Climate Change,3/13/2023,Malook Nagar,Climate change,2023
CAMPA Funds,3/13/2023,Bharat Ram MarganiRajendra AgrawalReddeppa Nallakonda Gari,Legislation/plans/schemes,2023
Environmental Clearance to Gas based Power Projects,3/13/2023,Bhavana Pundlikrao Gawali PatilKrupal Balaji Tumane,Environmental clearances,2023
Waste Disposal System,3/13/2023,Gyaneshwar PatilNayab Singh,Legislation/plans/schemes,2023
Monitoring of Air Quality at Construction Sites,3/13/2023,Jagannath SarkarHasnain Masoodi,Pollution,2023
Segregator Packaging Indicator,3/13/2023,Srinivas Kesineni,Others,2023
Ban on Manja,3/13/2023,Balak Nath,Others,2023
